Strain (mm/mm)	Engineering stress (MPa)	Strain up to UTS (mm/mm)	Engineering stress up to UTS (MPa)	True strain (mm/mm)	True stress (MPa)	True strain in plastic region (mm/mm)	True stress in plastic region (MPa)	Fitted true strain in plastic region (mm/mm)	Fitted true stress in plastic region (MPa)	Plastic strain for Ansys (mm/mm)
0.0056695	355.6936333	0.0056695	355.6936333	0.005653489	357.7102384	0.019617806	391.5106438			
0.0057375	356.0156185	0.0057375	356.0156185	0.005721103	358.0582581	0.019617806	391.8980714			
0.0058055	356.2934772	0.0058055	356.2934772	0.005788713	358.361939	0.019715859	392.1523836			
0.005849	356.5933991	0.005849	356.5933991	0.005831961	358.6791139	0.019813902	392.1605925			
0.005913	357.0098425	0.005913	357.0098425	0.005895587	359.1208417	0.019813902	392.1683285			
0.005961	357.0532795	0.005961	357.0532795	0.005943304	359.1816741	0.019911935	392.6020542			
0.006045	357.3090749	0.006045	357.3090749	0.006026802	359.4690083	0.019911935	392.6548048			
0.0060965	357.5724547	0.0060965	357.5724547	0.006077992	359.7523951	0.019911935	392.6470681			
0.0061325	357.7399973	0.0061325	357.7399973	0.006113773	359.9338378	0.020107973	392.5896846			
0.0062045	358.003377	0.0062045	358.003377	0.006185331	360.224609	0.020107973	392.9175063			
0.0062965	358.1778144	0.0062965	358.1778144	0.00627676	360.433081	0.020107973	392.9027332			
0.0063485	358.558405	0.0063485	358.558405	0.006328433	360.834713	0.020205977	392.6731892			
0.006408	358.5880524	0.006408	358.5880524	0.006387556	360.8858847	0.020303972	392.9797494			
0.006484	358.8576374	0.006484	358.8576374	0.006463069	361.1844704	0.020303972	393.1662082			
0.006512	358.9527851	0.006512	358.9527851	0.006490889	361.2902856	0.020401957	393.4130259			
0.006548	358.8872849	0.006548	358.8872849	0.006526655	361.2372788	0.020401957	393.5101347			
0.0066315	359.1720384	0.0066315	359.1720384	0.006609608	361.5538877	0.020499933	393.3924572			
0.0066595	359.3471652	0.0066595	359.3471652	0.006637423	361.7402376	0.020499933	393.6831083			
0.0067195	359.6250239	0.0067195	359.6250239	0.006697025	362.0415243	0.020597899	393.7146396			
0.0068155	359.8297982	0.0068155	359.8297982	0.006792379	362.2822182	0.020597899	393.62455			
0.0068595	359.9104669	0.0068595	359.9104669	0.006836081	362.3792727	0.020695856	394.0284308			
0.006899	360.2021151	0.006899	360.2021151	0.006875311	362.6871495	0.020695856	393.9249584			
0.006967	360.3848262	0.006967	360.3848262	0.006942843	362.8956273	0.020793803	394.2317538			
0.007063	360.5820162	0.007063	360.5820162	0.007038174	363.128807	0.020793803	394.1867002			
