Strain (mm/mm)	Stress (MPa)
0.0319115	401.2797
0.0319115	401.0528625
0.0319115	401.3893267
0.0321115	401.3307212
0.0321115	401.2066156
0.0322115	401.5423903
0.0322115	401.2797
0.0323115	401.4258689
0.0323115	401.4699953
0.0324115	401.6520169
0.0325115	401.6961434
0.0326115	401.7106224
0.0326115	401.9085019
0.0327115	401.9519389
0.0327115	401.9153966
0.0327115	401.7988752
0.0328115	402.1346499
0.0329115	402.2366923
0.0329115	402.0539813
0.0330115	402.2663398
0.0330115	402.2732346
0.0331115	402.2732346
0.0332115	402.6607199
0.0332115	403.0109736
0.0333115	402.8510152
0.0333115	402.8875574
0.0334115	402.9744314
0.0334115	403.2743533
0.0335115	403.1206002
0.0336115	403.2598743
0.0336115	403.2819375
0.0337115	403.2088531
0.0337115	402.9744314
0.0338115	403.0551
0.0339115	403.6832124
0.0339115	403.3474377
0.0340115	403.7349231
0.0340115	403.5515225
0.0341115	403.8004233
0.0341115	403.9252184
0.0342115	403.6542544
0.0343115	404.2099719
0.0343115	403.9396974
0.0343115	403.9396974
0.0344115	403.8369655
0.0344115	404.0265713
0.0345115	404.2975353
0.0345115	403.9976133
0.0346115	404.0189871
0.0347115	404.2975353
0.0348115	404.4940359
0.0348115	404.4071619
0.0349115	404.6843312
0.0349115	404.6698522
0.0350115	404.6774364
0.0350115	404.8822107
0.0351115	404.816021
0.0351115	404.3416617
0.0352115	404.9042739
0.0353115	404.9546057
0.0353115	405.1007745
0.0354115	405.3496752
0.0354115	405.0352743
0.0355115	405.2035064
0.0356115	405.3572595
0.0356115	405.2545276
0.0356115	405.3496752
0.0357115	405.313133
0.0357115	405.4220702
0.0358115	405.5758233
0.0359115	405.8757452
0.0359115	405.8323083
0.0359115	405.6123655
0.0360115	405.9702034
0.0361115	406.1094775
0.0361115	406.094309
0.0362115	406.336315
0.0363115	406.3287308
0.0363115	406.2046252
0.0363115	406.2701253
0.0364115	406.4011257
0.0364115	406.2701253
0.0365115	406.423189
0.0366115	406.5693578
0.0366115	406.4452522
0.0366115	406.6279632
0.0367115	406.3728572
0.0368115	406.5990053
0.0368115	406.8182585
0.0368115	406.6865687
0.0369115	406.7961953
0.0370115	406.9347799
0.0370115	406.9127167
0.0371115	407.0368224
0.0372115	407.2857231
0.0372115	407.1760965
0.0372115	407.3663918
0.0373115	407.4167235
0.0373115	407.1760965
0.0373115	407.2712441
0.0374115	407.088533
0.0375115	407.5849556
0.0375115	407.3946603
0.0376115	407.4532657
0.0377115	407.4973921
0.0377115	407.614603
0.0378115	407.7683561
0.0378115	407.7318139
0.0379115	407.7683561
0.0379115	407.9062512
0.0381115	407.9207302
0.0381115	408.0310464
0.0382115	408.126194
0.0383115	408.3089051
0.0382115	408.2944261
0.0383115	408.1482572
0.0384115	408.2213417
0.0385115	408.3233841
0.0386115	408.3813
0.0386115	408.6005533
0.0386115	408.5350531
0.0387115	408.6005533
0.0388115	408.7253484
0.0388115	408.9294332
0.0389115	408.8411803
0.0389115	408.7474116
0.0390115	408.8487646
0.0391115	408.9949334
0.0392115	409.1121443
0.0392115	409.3313976
0.0393115	409.3176081
0.0393115	409.3458766
0.0394115	409.192813
0.0395115	409.1859182
0.0395115	409.3458766
0.0396115	409.4113768
0.0396115	409.3968978
0.0396115	409.4555032
0.0397115	409.5506509
0.0397115	409.6092563
0.0398115	409.7188829
0.0398115	409.7409462
0.0399115	410.0112206
0.0399115	409.8354043
0.0400115	410.0112206
0.0401115	410.0256996
0.0401115	410.2601214
0.0402115	410.1863475
0.0402115	410.2159949
0.0403115	410.0698261
0.0403115	409.8422991
0.0404115	410.2304739
0.0404115	410.1353263
0.0405115	410.3614743
0.0406115	410.3173479
0.0406115	410.5297064
0.0407115	410.5221222
0.0407115	410.6172698
0.0408115	410.8213546
0.0408115	410.7923966
0.0408115	411.0702554
0.0409115	410.8289389
0.0410115	411.0268184
0.0410115	411.0633606
0.0411115	411.1950505
0.0411115	411.3039876
0.0412115	411.2095295
0.0413115	411.3108824
0.0413115	411.1729872
0.0414115	411.4432617
0.0414115	411.4798039
0.0415115	411.3260509
0.0416115	411.5749516
0.0416115	411.6990572
0.0417115	411.7431837
0.0417115	411.8445366
0.0418115	412.0348319
0.0418115	411.8955578
0.0419115	412.1299796
0.0420115	412.159627
0.0420115	412.3271696
0.0421115	412.1444585
0.0422115	412.3561276
0.0421115	412.3706066
0.0422115	412.3781908
0.0423115	412.3857751
0.0423115	412.3195854
0.0425115	412.8015289
0.0426115	412.5243597
0.0427115	412.671218
0.0427115	412.714655
0.0427115	412.9042608
0.0428115	413.0283664
0.0429115	413.0359507
0.0429115	413.3427674
0.0429115	413.2324512
0.0429115	413.1242036
0.0430115	413.452394
0.0430115	413.4227465
0.0431115	413.4599782
0.0431115	413.2696829
0.0432115	413.5551259
0.0433115	413.481352
0.0434115	413.437915
0.0434115	413.8467741
0.0434115	413.7661055
0.0434115	413.7516265
0.0435115	413.7150843
0.0436115	413.8977953
0.0436115	414.0591326
0.0437115	414.0005272
0.0438115	414.4093863
0.0438115	414.2997597
0.0438115	414.3949073
0.0438115	414.5486604
0.0439115	414.2487385
0.0440115	414.4824707
0.0440115	414.2411542
0.0441115	414.3287177
0.0441115	414.1611751
0.0441115	414.1832383
0.0442115	414.2921754
0.0442115	414.5555552
0.0443115	414.5631394
0.0444115	414.7527452
0.0444115	414.9499353
0.0445115	414.8547876
0.0445115	414.9795827
0.0446115	415.0085407
0.0446115	415.3153574
0.0447115	414.8989141
0.0447115	415.2863994
0.0448115	415.0457724
0.0449115	415.242273
0.0449115	415.227794
0.0450115	415.0823146
0.0450115	415.4615263
0.0451115	415.271231
0.0451115	415.5863214
0.0453115	415.3739629
0.0453115	415.6083846
0.0453115	415.782822
0.0454115	415.7462798
0.0455115	415.9875963
0.0455115	416.0027647
0.0456115	415.9586383
0.0457115	416.0172437
0.0457115	416.4847083
0.0458115	416.4192081
0.0458115	416.3385394
0.0459115	416.2578707
0.0459115	416.3454342
0.0460115	416.3385394
0.0460115	416.1703073
0.0461115	416.4040396
0.0461115	416.3385394
0.0462115	416.4192081
0.0463115	416.5212505
0.0463115	416.5433137
0.0464115	416.6887931
0.0465115	416.6667298
0.0465115	416.9962992
0.0466115	417.0473204
0.0466115	416.9301096
0.0467115	416.7329195
0.0467115	416.9232148
0.0467115	416.9087358
0.0468115	417.0252572
0.0468115	417.0038835
0.0469115	417.1417786
0.0470115	416.9521728
0.0470115	416.7108563
0.0471115	417.0038835
0.0471115	417.1135101
0.0471115	417.4196373
0.0472115	417.4196373
0.0472115	417.3762004
0.0472115	417.3244897
0.0473115	417.5223692
0.0474115	417.6602644
0.0475115	417.5954537
0.0475115	417.6678486
0.0476115	417.4934112
0.0476115	417.5223692
0.0477115	417.7340383
0.0478115	417.7188698
0.0479115	417.9022704
0.0479115	417.7629963
0.0480115	417.9312283
0.0480115	417.8216017
0.0481115	417.8071227
0.0482115	417.9753548
0.0483115	417.8436649
0.0483115	418.1353131
0.0483115	418.2015028
0.0483115	418.1794396
0.0484115	418.4062771
0.0485115	418.552446
0.0486115	418.3697349
0.0486115	418.3773191
0.0487115	418.4869458
0.0488115	418.7420518
0.0488115	418.4938405
0.0489115	418.6544884
0.0489115	418.7861782
0.0490115	418.5896777
0.0491115	418.6979253
0.0491115	418.7130938
0.0492115	418.9619945
0.0493115	419.0206
0.0494115	419.0054315
0.0494115	419.275706
0.0494115	419.1440161
0.0494115	419.2315796
0.0495115	419.1729741
0.0495115	419.4735855
0.0496115	419.561149
0.0497115	419.3198324
0.0497115	419.4584171
0.0498115	419.4735855
0.0498115	419.4584171
0.0499115	419.4294591
0.0499115	419.5101278
0.0499115	419.3784379
0.0500115	419.5894175
0.0501115	419.3122482
0.0502115	419.7142126
0.0502115	419.7507548
0.0502115	419.801776
0.0503115	419.9479448
0.0504115	420.1816771
0.0504115	420.1154874
0.0505115	420.0865295
0.0505115	420.1154874
0.0506115	420.0210293
0.0507115	420.2251141
0.0507115	420.2547615
0.0508115	420.2837195
0.0508115	420.1085927
0.0509115	420.2106351
0.0509115	420.2547615
0.0510115	420.4009304
0.0510115	420.4154094
0.0511115	420.5981204
0.0512115	420.6780996
0.0512115	420.7953105
0.0512115	420.6270784
